Franchise Owner Name,Legal Corporate Name,Corporate Address,Corporate Phone Number,Corporate Email,Franchise Owner LinkedIn URL,Source URLs
GC Ponca City LLC,GC Ponca City LLC,"116 E. McElroy, Stillwater, OK",(405) 332-1324,info@gcponcacityllc.com,https://www.linkedin.com/company/city-of-stillwater-oklahoma,https://www.linkedin.com/company/city-of-stillwater-oklahoma; https://www.linkedin.com/in/orlando-gutierrez-31299a204; https://www.linkedin.com/pub/dir/Brad/Rowland/us-0-Estados-Unidos
"Venture Foods, LLC","Venture Foods, LLC","900 S. Carrier Parkway, Grand Prairie, TX",(214) 412-3270,info@venturefoodsllc.com,https://www.linkedin.com/company/ventura-foods,https://www.linkedin.com/company/ventura-foods; https://www.linkedin.com/jobs/view/customer-service-manager-at-ventura-foods-4227364288; https://www.linkedin.com/in/chris-cassout-70495814
Annapurna Food Inc.,Annapurna Food Inc.,"8525 S. Hulen Street, Fort Worth, TX",,info@annapurnafoodinc..com,https://www.linkedin.com/pub/dir/Annapurna/Foods,https://www.linkedin.com/pub/dir/Annapurna/Foods; https://www.linkedin.com/in/donald-wall-41035711; https://www.linkedin.com/company/standard-meat-company
Golden Operating Corporation,Golden Operating Corporation LLC,"11823 Plano Road, Dallas, TX",,info@goldenoperatingcorporation.com,https://www.linkedin.com/in/sesibel-cazares-73aa1b187,https://www.linkedin.com/in/sesibel-cazares-73aa1b187; https://www.linkedin.com/in/stephen-rogan-05b02a86; https://www.linkedin.com/company/golden-chick
Golden Operating Corporation,Golden Operating Corporation LLC,"1504 State Hwy 16, Graham, TX",,info@goldenoperatingcorporation.com,https://www.linkedin.com/in/alex-cisneros-87277a,https://www.linkedin.com/in/alex-cisneros-87277a; https://www.linkedin.com/in/korey-graham-9b6ba9b3; https://www.linkedin.com/company/graham-mortgage-corporation
Golden Operating Corporation,Golden Operating Corporation LLC,"445 West Arapaho Road, Richardson, TX",,info@goldenoperatingcorporation.com,https://www.linkedin.com/in/jay-nash-tharian-01194b51,https://www.linkedin.com/in/jay-nash-tharian-01194b51; https://www.linkedin.com/in/dana-ashton-a08b783a; https://www.linkedin.com/company/golden-chick
"McAllen GC, LLC","McAllen GC, LLC","401 S. Sugar Road, Edinburg, TX",(956) 386-9225,info@mcallengcllc.com,https://www.linkedin.com/company/city-of-mcallen-tx,https://www.linkedin.com/company/city-of-mcallen-tx; https://www.linkedin.com/company/edinburgchamber; https://www.linkedin.com/company/mcallen-roofing
"Crescent Star Foods (PVT)
Limited","Crescent Star Foods (PVT)
Limited LLC","FC-2, 2^{nd} Floor, Dolmen City Mall, Karachi, PK",92-213-529-1441,"info@crescentstarfoods(pvt)
limited.com",https://pk.linkedin.com/company/cstarfoods,https://pk.linkedin.com/company/cstarfoods; https://pk.linkedin.com/in/saqib-zaidi-322a2914; https://pk.linkedin.com/in/majid-qureshi-91b788ba
"GC Restaurants SA, LLC","GC Restaurants SA, LLC","8534 IH 35 South, San Antonio, TX",(210) 932-9663,info@gcrestaurantssallc.com,https://www.linkedin.com/company/golfcluboftexas-sanantonio,https://www.linkedin.com/company/golfcluboftexas-sanantonio; https://www.linkedin.com/in/jorge-merendon-25803815; https://www.linkedin.com/company/landry's-restaurants
Golden Operating Corporation,Golden Operating Corporation LLC,"7990 Macon Hwy, Watkinsville, GA",,info@goldenoperatingcorporation.com,https://www.linkedin.com/company/golden-pantry-food-stores,https://www.linkedin.com/company/golden-pantry-food-stores; https://sv.linkedin.com/company/golden-pantry-food-stores; https://tr.linkedin.com/company/golden-pantry-food-stores
Golden Operating Corporation,Golden Operating Corporation LLC,"414 W. Hwy Street, Iowa Park, TX",,info@goldenoperatingcorporation.com,https://www.linkedin.com/in/david-golden-09970183,https://www.linkedin.com/in/david-golden-09970183; https://www.linkedin.com/in/marc-ditto-917602129; https://www.linkedin.com/in/david-golden-7b8643107
"Hagan, John","Hagan, John LLC","633 W IH20, Colorado City, TX",(325) 728-9373,info@haganjohn.com,https://www.linkedin.com/in/john-hagan-8595562b7,https://www.linkedin.com/in/john-hagan-8595562b7; https://www.linkedin.com/in/john-hagan; https://www.linkedin.com/pub/dir/Hagan/John
Golden Operating Corporation,Golden Operating Corporation LLC,"3900 Jacksboro Hwy, Wichita Falls, TX",,info@goldenoperatingcorporation.com,https://www.linkedin.com/company/golden-chick,https://www.linkedin.com/company/golden-chick; https://www.linkedin.com/in/john-golden-4750966a; https://www.linkedin.com/company/long-john-silver's-llc
"G.C. Wichita Falls -Airport 2017, Ltd.","G.C. Wichita Falls -Airport 2017, Ltd. LLC","2906 Central E Freeway, Wichita Falls, TX",(940) 855-7750,info@g.c.wichitafalls-airport2017ltd..com,https://www.linkedin.com/in/thaddeus-arcinue-jr,https://www.linkedin.com/in/thaddeus-arcinue-jr; https://www.linkedin.com/in/bhavanishankeranumalla; https://www.linkedin.com/in/tricialarsonofafourseasonshome
S & S Fast Foods Inc.,S & S Fast Foods Inc.,"2840 Cleburne Rd., Fort Worth, TX",(817) 920-7516,info@s&sfastfoodsinc..com,https://www.linkedin.com/in/stephanie-crouch-a1658133,https://www.linkedin.com/in/stephanie-crouch-a1658133; https://www.linkedin.com/company/shearer's-foods-inc-; https://www.linkedin.com/in/ashanti-cook-a179a0193
"WGG, INC.","WGG, INC. LLC","400 West Round Rock, Round Rock, TX",(512) 255-0950,info@wgginc..com,https://www.linkedin.com/company/egg-inc,https://www.linkedin.com/company/egg-inc; https://www.linkedin.com/in/morganlogue; https://www.linkedin.com/in/sarah-freitas-90a7272a0
"Crescent Star Foods (PVT)
Ltd.","Crescent Star Foods (PVT)
Ltd. LLC","Kiosk # 10, Sea View DHA, Karachi, PK",923-339-199-5556,"info@crescentstarfoods(pvt)
ltd..com",https://pk.linkedin.com/company/cstarfoods,https://pk.linkedin.com/company/cstarfoods; https://pk.linkedin.com/in/saqib-zaidi-322a2914; https://www.linkedin.com/company/crescentfoods
"RUYI, Inc.","RUYI, Inc.","410 West Kiest Blvd., Dallas, TX",(214) 371-2400,info@ruyiinc..com,https://www.linkedin.com/in/ruyiren,https://www.linkedin.com/in/ruyiren; https://www.linkedin.com/company/ruyigroup/; https://www.linkedin.com/in/ruyi-gaffney-b6628457
"89th Enterprises, LLC","89th Enterprises, LLC","250 South Midwest Blvd, Midwest City, OK",(405) 733-9996,info@89thenterprisesllc.com,https://do.linkedin.com/company/vanco-cogent,https://do.linkedin.com/company/vanco-cogent; https://ec.linkedin.com/company/vanco-cogent; https://ocp.dc.gov/sites/default/files/dc/sites/ocp/publication/attachments/Report%20of%20Contracting%20Activity%20-%20Part%20I%20-%20January%2015%202018_0.pdf
"McAllen GC, LLC","McAllen GC, LLC","1911 North Raul Longoria Road, San Juan, TX",,info@mcallengcllc.com,https://www.linkedin.com/jobs/view/multilingual-interpreter-and-translator-at-global-impact-group-llc-4250371307,https://www.linkedin.com/jobs/view/multilingual-interpreter-and-translator-at-global-impact-group-llc-4250371307; https://www.linkedin.com/jobs/view/customer-service-representative-overnight-full-time-san-juan-international-airport-at-enterprise-4255559087; https://www.linkedin.com/jobs/view/houseperson-at-schulte-hospitality-group-4258306803
TCM Foods LLC,TCM Foods LLC,"700 N. Industrial Blvd., Euless, TX",,info@tcmfoodsllc.com,https://www.linkedin.com/jobs/view/shift-manager-at-southern-multifoods-inc-4257311249,https://www.linkedin.com/jobs/view/shift-manager-at-southern-multifoods-inc-4257311249; https://www.linkedin.com/jobs/view/restaurant-general-manager-at-southern-multifoods-inc-4257307737; https://www.linkedin.com/jobs/view/merchandiser-specialist-at-acosta-group-4254476019
"CC Stirling Ventures, LLC","CC Stirling Ventures, LLC","Junction Highway, Kerrville, TX",,info@ccstirlingventuresllc.com,https://www.linkedin.com/company/cc-stirling-ventures,https://www.linkedin.com/company/cc-stirling-ventures; https://www.linkedin.com/jobs/golden-chick-jobs; https://www.linkedin.com/jobs/view/store-crew-at-7-eleven-4192223754
"G.C. Houston - S Post Oak
2017, Ltd.","G.C. Houston - S Post Oak
2017, Ltd. LLC","13600 S. Post Oak Road, Houston, TX",,"info@g.c.houston-spostoak
2017ltd..com",https://www.linkedin.com/company/franceinhouston,https://www.linkedin.com/company/franceinhouston; https://www.linkedin.com/company/engie-north-america-inc; https://ec.linkedin.com/company/houston-country-club
"Alimentos Integrados, LLC","Alimentos Integrados, LLC","1700 S. Dumas Avenue, Dumas, TX",(806) 421-0579,info@alimentosintegradosllc.com,https://ar.linkedin.com/company/nuestro-queso-llc,https://ar.linkedin.com/company/nuestro-queso-llc; https://es.linkedin.com/company/nuestro-queso-llc?trk=similar-companies_org_title; https://www.linkedin.com/company/ssi-foods-texas
Golden Operating Corporation,Golden Operating Corporation LLC,"10443 N. Central Expressway, Dallas, TX",,info@goldenoperatingcorporation.com,https://www.linkedin.com/in/sesibel-cazares-73aa1b187,https://www.linkedin.com/in/sesibel-cazares-73aa1b187; https://www.linkedin.com/in/stephen-rogan-05b02a86; https://www.linkedin.com/company/golden-chick
"G.C. Plano Independence
2016, Ltd.","G.C. Plano Independence
2016, Ltd. LLC","Independence at Plano Parkway, Plano, TX",,"info@g.c.planoindependence
2016ltd..com",https://www.linkedin.com/in/james-e-montero-0b8557,https://www.linkedin.com/in/james-e-montero-0b8557; https://www.linkedin.com/in/chunlei-zhang-28a0722; https://www.linkedin.com/in/jason-liebert-pe-0b0b655
"Oceanwide Holdings, LLC","Oceanwide Holdings, LLC","211 Pelham Road, Greenville, SC",(864) 520-1885,info@oceanwideholdingsllc.com,https://www.linkedin.com/company/oceanwidecrew,https://www.linkedin.com/company/oceanwidecrew; https://www.linkedin.com/in/justin-han-b3b06375; https://www.linkedin.com/company/oceanwide-texas-inc
"PPA55.B85, LLC","PPA55.B85, LLC","9600 North Lamar XFR 11-1-13, Austin, TX",(512) 873-3336,info@ppa55.b85llc.com,https://www.linkedin.com/company/providence-partners-and-associates,https://www.linkedin.com/company/providence-partners-and-associates; https://www.linkedin.com/in/dale-west-7977b1; https://www.linkedin.com/in/teri-pennington-7a94b0
